bar_index,side,qty,reason,price,cost
13,BUY,1,ENTRY,97.44126025481404,1.0
20,BUY,1,ADD,95.62766478589543,1.0
23,BUY,1,ADD,93.8482901124305,1.0
66,SELL,3,TAKE_PROFIT,98.38184716070282,1.0
67,BUY,1,ENTRY,100.85636964063022,1.0
76,SELL,1,TAKE_PROFIT,103.88484994175276,1.0
77,BUY,1,ENTRY,103.29718358104046,1.0
79,BUY,1,ADD,99.64505548765104,1.0
92,SELL,2,TAKE_PROFIT,104.87542656064036,1.0
93,BUY,1,ENTRY,108.43881703071527,1.0
103,SELL,1,TAKE_PROFIT,112.00876374113777,1.0
104,BUY,1,ENTRY,110.92308074185979,1.0
111,SELL,1,TAKE_PROFIT,115.34645977227524,1.0
112,BUY,1,ENTRY,114.43098085303131,1.0
116,BUY,1,ADD,110.81403061121807,1.0
124,BUY,1,ADD,107.20973515340285,1.0
127,BUY,1,ADD,104.63317628721272,1.0
139,BUY,1,ADD,102.08300803995537,1.0
177,SELL,5,TAKE_PROFIT,113.02807732029362,1.0
178,BUY,1,ENTRY,111.95715031632484,1.0
179,BUY,1,ADD,109.05513712435227,1.0
193,BUY,1,ADD,107.1561184412187,1.0
195,BUY,1,ADD,104.58117828752725,1.0
197,BUY,1,ADD,102.80342798118905,1.0
211,SELL,5,TAKE_PROFIT,110.00090237112934,1.0
212,BUY,1,ENTRY,108.56878207537898,1.0
215,SELL,1,TAKE_PROFIT,111.07757301884428,1.0
216,BUY,1,ENTRY,111.46362260713516,1.0
218,BUY,1,ADD,109.73215948726954,1.0
221,BUY,1,ADD,108.27014770182629,1.0
225,SELL,3,TAKE_PROFIT,112.43179087227813,1.0
226,BUY,1,ENTRY,112.29410048592737,1.0
230,BUY,1,ADD,109.15821783605247,1.0
239,BUY,1,ADD,106.94403949470107,1.0
246,BUY,1,ADD,103.99316363863309,1.0
